,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
156,Nathaniel Brown,DF,de Germany,23-031,2003,3.1,0,0,0,4,1,0,17,2,6,,,0,Matches,abc79c47
157,Tajon Buchanan,MF,ca Canada,27-159,1999,4.2,0,0,0,5,8,2,16,1,5,,,0,Matches,3aca6420
158,Ante Budimir,FW,hr Croatia,34-360,1991,1.7,0,0,0,6,4,0,0,0,1,,,0,Matches,8f3565b3
159,Firas Al-Buraikan,FW,sa Saudi Arabia,26-064,2000,2.6,1,0,0,2,3,0,0,1,0,,,0,Matches,ac717a23
160,Cameron Burgess,DF,au Australia,30-269,1995,1.5,0,0,0,0,0,0,0,1,1,,,1,Matches,da61ca98
161,Dan Burn,DF,eng England,34-069,1992,0.4,0,0,0,1,0,0,0,0,0,,,0,Matches,b2d31e83
162,Dženis Burnić,MF,ba Bosnia–Herz,28-056,1998,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,0dabaf14
163,Gustavo Caballero,FWMF,py Paraguay,24-299,2001,1.1,0,0,0,2,2,1,0,0,2,,,0,Matches,90a38ca7
164,Jovane Cabral,FW,cv Cabo Verde,28-033,1998,1.5,0,0,0,1,2,0,1,1,3,,,0,Matches,e34e086c
165,Liberato Cacace,DF,nz New Zealand,25-293,2000,2.4,0,0,0,1,5,0,8,3,2,,,0,Matches,dd86e8e4
166,Juan Cáceres,DF,py Paraguay,26-046,2000,4.8,1,0,0,9,6,0,10,5,11,,,0,Matches,db887bdf
167,Sebastián Cáceres,DF,uy Uruguay,26-333,1999,3.0,0,0,0,2,2,0,1,2,1,,,0,Matches,7091c68e
168,Jordy Caicedo,FW,ec Ecuador,28-241,1997,0.2,0,0,0,2,0,0,0,0,0,,,0,Matches,7fcb27d8
169,Moisés Caicedo,MF,ec Ecuador,24-257,2001,4.0,1,0,0,5,4,0,17,4,6,,,0,Matches,16264a81
170,Uğurcan Çakır,GK,tr Türkiye,30-103,1996,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,f63a8347
171,Hakan Çalhanoğlu,MF,tr Türkiye,32-159,1994,2.0,0,0,0,2,1,0,10,1,3,,,0,Matches,cd0fa27b
172,Lamine Camara,MF,sn Senegal,22-197,2004,2.8,1,0,0,5,3,0,7,2,1,,,0,Matches,19c2ffa4
173,Jaminton Campaz,FWMF,co Colombia,26-054,2000,0.8,0,0,0,2,3,2,2,0,1,,,0,Matches,8d5ceef2
174,İrfan Can Kahveci,MF,tr Türkiye,31-002,1995,0.0,0,0,0,0,0,0,0,0,1,,,0,Matches,d2800f47
