Rk,Player,Pos,Squad,Age,Club,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,-additional_-9999,Standard_Sh,Standard_SoT,Performance_TklW,Performance_Int,Playing Time_Min_play,Score
76,Tomás Araújo,DF,pt Portugal,24-062,1.pt Benfica,2002,1,1,0.12917271407837447,1.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,0fa11d7d,0.0,0.0,0.0,0.06666666666666667,90.0,0.04916787614900822
77,Telmo Arcanjo,MF,cv Cabo Verde,25-026,1.pt Vit. Guimarães,2001,2,1,0.08127721335268506,0.6,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,c692cef2,0.0,0.0,0.0,0.0,57.0,0.008127721335268507
78,Álex Arce,FW,py Paraguay,31-031,1.ar Ind. Rivadavia,1995,2,0,0.07547169811320756,0.6,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,10411db2,0.0,0.0,0.05,0.0,53.0,0.0
79,Carlens Arcus,MFDF,ht Haiti,30-019,1.fr Angers,1996,3,2,0.2104499274310595,1.6,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,5e837126,0.0,0.0,0.15000000000000002,0.2,146.0,0.1795899854862119
80,Max Arfsten,MF,us United States,25-089,1.us Columbus Crew,2001,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,668f881e,0.0,0.0,0.0,0.0,1.0,0.0
81,Jhon Arias,MF,co Colombia,28-299,1.br Palmeiras,1997,5,5,0.5457184325108854,4.2,0.125,0.0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,Matches,86d96066,0.21951219512195122,0.17391304347826086,0.45,0.13333333333333333,377.0,0.19540517658442189
82,Santiago Arias,DF,co Colombia,34-185,1.ar Independiente,1992,1,1,0.12336719883889696,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,fdd60087,0.0,0.0,0.1,0.06666666666666667,86.0,0.09300677310111272
83,Marko Arnautović,FW,at Austria,37-089,1.rs Red Star,1989,4,1,0.20754716981132076,1.6,0.25,0.0,2,1,1,1,1,0,1.25,0.0,1.25,0.62,0.62,Matches,00459419,0.07317073170731708,0.13043478260869565,0.0,0.0,144.0,0.14669936373276776
84,Benjamin Asare,GK,gh Ghana,34-004,1.gh Accra Hearts of Oak,1992,3,2,0.3251088534107402,2.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,4bb65492,0.0,0.0,0.0,0.0,225.0,0.0
85,Emam Ashour,MF,eg Egypt,28-147,1.eg Al Ahly,1998,5,5,0.5239477503628447,4.0,0.25,0.0,2,2,0,0,0,0,0.5,0.0,0.5,0.5,0.5,Matches,31b7d437,0.24390243902439024,0.08695652173913043,0.1,0.26666666666666666,362.0,0.17406144170295115
86,Rustam Ashurmatov,DF,uz Uzbekistan,30-010,1.ir Esteghlal,1996,3,3,0.37010159651669083,2.8,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,a0ecd397,0.0,0.0,0.1,0.4666666666666667,256.0,0.2823536526366715
